,roc_auc,precision,recall,f1_score,threshold
XGBoost,0.45908163265306123,0.02443280977312391,0.35,0.04567699836867863,0.1
PyTorch_NN,0.5268112244897959,0.019527235354573486,0.95,0.03826787512588117,0.1
